scraped_at,source_url,detail_url,building_name_raw,building_name_norm,rent_text,deposit_text,key_money_text,area_sqm_text,layout_text,floor_text,direction_text
2026-02-14T19:46:49+09:00,https://www.mansion-review.jp/chintai/city/400001.html?condition=on&sub_city%5B%5D=1616&sub_city%5B%5D=1619&homes_cond_monthmoneyroom_min=0&homes_cond_monthmoneyroom_max=99999999&homes_cond_housearea_min=0&homes_cond_housearea_max=9999&search=%E6%A4%9C%E7%B4%A2%E3%81%99%E3%82%8B,https://www.mansion-review.jp/chintai/1328250035934.html,No.71 オリエントトラストタワー,No.71 オリエントトラストタワー,"3.6万円 (4,000円)",無,1ヶ月,24m²,1DK,21階,南
2026-02-14T19:46:49+09:00,https://www.mansion-review.jp/chintai/city/400001.html?condition=on&sub_city%5B%5D=1616&sub_city%5B%5D=1619&homes_cond_monthmoneyroom_min=0&homes_cond_monthmoneyroom_max=99999999&homes_cond_housearea_min=0&homes_cond_housearea_max=9999&search=%E6%A4%9C%E7%B4%A2%E3%81%99%E3%82%8B,https://www.mansion-review.jp/chintai/1328250035817.html,No.71 オリエントトラストタワー,No.71 オリエントトラストタワー,"3.6万円 (4,000円)",無,1ヶ月,24.05m²,1K,9階,南
2026-02-14T19:46:49+09:00,https://www.mansion-review.jp/chintai/city/400001.html?condition=on&sub_city%5B%5D=1616&sub_city%5B%5D=1619&homes_cond_monthmoneyroom_min=0&homes_cond_monthmoneyroom_max=99999999&homes_cond_housearea_min=0&homes_cond_housearea_max=9999&search=%E6%A4%9C%E7%B4%A2%E3%81%99%E3%82%8B,https://www.mansion-review.jp/chintai/1328250035818.html,No.71 オリエントトラストタワー,No.71 オリエントトラストタワー,"3.6万円 (4,000円)",無,1ヶ月,24.05m²,1K,11階,南
2026-02-14T19:46:49+09:00,https://www.mansion-review.jp/chintai/city/400001.html?condition=on&sub_city%5B%5D=1616&sub_city%5B%5D=1619&homes_cond_monthmoneyroom_min=0&homes_cond_monthmoneyroom_max=99999999&homes_cond_housearea_min=0&homes_cond_housearea_max=9999&search=%E6%A4%9C%E7%B4%A2%E3%81%99%E3%82%8B,https://www.mansion-review.jp/chintai/1328250035654.html,No.71 オリエントトラストタワー,No.71 オリエントトラストタワー,"3.6万円 (4,000円)",無,1ヶ月,24.05m²,1K,15階,南
2026-02-14T19:46:49+09:00,https://www.mansion-review.jp/chintai/city/400001.html?condition=on&sub_city%5B%5D=1616&sub_city%5B%5D=1619&homes_cond_monthmoneyroom_min=0&homes_cond_monthmoneyroom_max=99999999&homes_cond_housearea_min=0&homes_cond_housearea_max=9999&search=%E6%A4%9C%E7%B4%A2%E3%81%99%E3%82%8B,https://www.mansion-review.jp/chintai/1328250035022.html,No.71 オリエントトラストタワー,No.71 オリエントトラストタワー,"3.6万円 (4,000円)",無,1ヶ月,24.05m²,1DK,4階,南
2026-02-14T19:46:49+09:00,https://www.mansion-review.jp/chintai/city/400001.html?condition=on&sub_city%5B%5D=1616&sub_city%5B%5D=1619&homes_cond_monthmoneyroom_min=0&homes_cond_monthmoneyroom_max=99999999&homes_cond_housearea_min=0&homes_cond_housearea_max=9999&search=%E6%A4%9C%E7%B4%A2%E3%81%99%E3%82%8B,https://www.mansion-review.jp/chintai/1328250031669.html,No.71 オリエントトラストタワー,No.71 オリエントトラストタワー,"3.6万円 (4,000円)",無,1ヶ月,24.05m²,1K,5階,南
2026-02-14T19:46:49+09:00,https://www.mansion-review.jp/chintai/city/400001.html?condition=on&sub_city%5B%5D=1616&sub_city%5B%5D=1619&homes_cond_monthmoneyroom_min=0&homes_cond_monthmoneyroom_max=99999999&homes_cond_housearea_min=0&homes_cond_housearea_max=9999&search=%E6%A4%9C%E7%B4%A2%E3%81%99%E3%82%8B,https://www.mansion-review.jp/chintai/1328250034613.html,No.71 オリエントトラストタワー,No.71 オリエントトラストタワー,"3.6万円 (4,000円)",無,1ヶ月,24.05m²,1DK,19階,南
2026-02-14T19:46:49+09:00,https://www.mansion-review.jp/chintai/city/400001.html?condition=on&sub_city%5B%5D=1616&sub_city%5B%5D=1619&homes_cond_monthmoneyroom_min=0&homes_cond_monthmoneyroom_max=99999999&homes_cond_housearea_min=0&homes_cond_housearea_max=9999&search=%E6%A4%9C%E7%B4%A2%E3%81%99%E3%82%8B,https://www.mansion-review.jp/chintai/1328250034181.html,No.71 オリエントトラストタワー,No.71 オリエントトラストタワー,"3.6万円 (4,000円)",無,1ヶ月,24.05m²,1DK,13階,南
2026-02-14T19:46:49+09:00,https://www.mansion-review.jp/chintai/city/400001.html?condition=on&sub_city%5B%5D=1616&sub_city%5B%5D=1619&homes_cond_monthmoneyroom_min=0&homes_cond_monthmoneyroom_max=99999999&homes_cond_housearea_min=0&homes_cond_housearea_max=9999&search=%E6%A4%9C%E7%B4%A2%E3%81%99%E3%82%8B,https://www.mansion-review.jp/chintai/1328250033630.html,No.71 オリエントトラストタワー,No.71 オリエントトラストタワー,"3.6万円 (4,000円)",無,1ヶ月,24.75m²,1DK,12階,南
2026-02-14T19:46:49+09:00,https://www.mansion-review.jp/chintai/city/400001.html?condition=on&sub_city%5B%5D=1616&sub_city%5B%5D=1619&homes_cond_monthmoneyroom_min=0&homes_cond_monthmoneyroom_max=99999999&homes_cond_housearea_min=0&homes_cond_housearea_max=9999&search=%E6%A4%9C%E7%B4%A2%E3%81%99%E3%82%8B,https://www.mansion-review.jp/chintai/1328250033378.html,No.71 オリエントトラストタワー,No.71 オリエントトラストタワー,"3.6万円 (4,000円)",無,1ヶ月,24.75m²,1DK,7階,南
